Input Lat,-30.82
Input Lon,152.99
Input Elev,9.0
Grid Lat,-30.810001
Grid Lon,153.00682
Grid Elev,0.0
Local Date,Local Time,Temp (C),RH (%),Wind Dir,Wind Speed (km/h),Drought Factor,FFDI,GFDI
27 Aug 2021,05:00,8.7,74.9,263,17.0,9.400001,2.0,0.0
27 Aug 2021,06:00,8.6,73.3,263,20.0,9.400001,2.0,0.0
27 Aug 2021,07:00,9.0,71.9,264,21.0,9.400001,2.0,0.0
27 Aug 2021,08:00,11.6,65.3,264,21.0,9.400001,3.0,0.0
27 Aug 2021,09:00,14.3,50.7,265,22.0,9.400001,6.0,0.0
27 Aug 2021,10:00,16.5,35.3,261,22.0,9.400001,11.0,0.0
27 Aug 2021,11:00,18.3,30.0,261,19.0,9.400001,13.0,0.0
27 Aug 2021,12:00,19.8,26.7,266,19.0,9.400001,15.0,0.0
27 Aug 2021,13:00,20.2,25.1,269,19.0,9.400001,16.0,0.0
27 Aug 2021,14:00,20.0,24.5,265,20.0,9.400001,17.0,0.0
27 Aug 2021,15:00,19.7,25.3,264,21.0,9.400001,17.0,0.0
27 Aug 2021,16:00,18.9,26.6,263,23.0,9.400001,16.0,0.0
27 Aug 2021,17:00,17.4,29.0,262,22.0,9.400001,14.0,0.0
27 Aug 2021,18:00,14.9,35.8,262,21.0,9.400001,10.0,0.0
27 Aug 2021,19:00,12.8,43.2,262,23.0,9.400001,8.0,0.0
27 Aug 2021,20:00,11.7,46.5,261,21.0,9.400001,6.0,0.0
27 Aug 2021,21:00,10.5,50.3,267,17.0,9.400001,5.0,0.0
27 Aug 2021,22:00,9.8,52.3,271,16.0,9.400001,4.0,0.0
27 Aug 2021,23:00,9.4,53.4,272,17.0,9.400001,4.0,0.0
28 Aug 2021,00:00,8.6,55.5,275,18.0,9.400001,4.0,0.0
28 Aug 2021,01:00,8.4,68.8,277,8.0,9.400001,2.0,0.0
28 Aug 2021,02:00,7.9,66.7,275,9.0,9.400001,2.0,0.0
28 Aug 2021,03:00,7.7,68.6,274,10.0,9.400001,2.0,0.0
28 Aug 2021,04:00,7.4,69.1,272,10.0,9.400001,2.0,0.0
28 Aug 2021,05:00,7.5,67.1,275,11.0,9.400001,2.0,0.0
28 Aug 2021,06:00,7.9,65.3,274,12.0,9.400001,2.0,0.0
28 Aug 2021,07:00,8.5,63.6,273,11.0,9.400001,2.0,0.0
28 Aug 2021,08:00,11.3,59.1,269,12.0,9.400001,3.0,0.0
28 Aug 2021,09:00,14.2,44.6,261,14.0,9.400001,6.0,0.0
28 Aug 2021,10:00,17.0,32.3,256,16.0,9.400001,11.0,0.0
28 Aug 2021,11:00,19.1,27.1,246,14.0,9.5,13.0,0.0
28 Aug 2021,12:00,20.7,23.5,213,14.0,9.5,16.0,0.0
28 Aug 2021,13:00,21.5,23.4,194,11.0,9.5,16.0,0.0
28 Aug 2021,14:00,21.6,28.6,171,11.0,9.5,13.0,0.0
28 Aug 2021,15:00,21.3,33.1,155,12.0,9.5,11.0,0.0
28 Aug 2021,16:00,20.6,38.3,142,15.0,9.5,10.0,0.0
28 Aug 2021,17:00,18.5,48.4,141,13.0,9.5,6.0,0.0
