Input Lat,-34.84,,,,,
Input Lon,148.42,,,,,
Input Elev,420,,,,,
Grid Lat,-34.86,,,,,
Grid Lon,148.4159,,,,,
Grid Elev,348,,,,,
Local Date,Local Time,Temp (C),RH (%),Wind Dir,Wind Speed (km/h),Drought Factor
8-Jan-00,16:00,38.2,9.9,300,55,9.2
8-Jan-00,17:00,36.4,10.8,260,45.7,9.2
8-Jan-00,18:00,37.2,10.9,258.6,46.5,9.2
8-Jan-00,19:00,37.3,11.7,260.8,46.3,9.2
8-Jan-00,20:00,35,14.1,261.5,48.3,9.2
8-Jan-00,21:00,34.5,14.5,265.8,30,9.2
8-Jan-00,22:00,34.3,14.3,261.8,28.2,9.2
8-Jan-00,23:00,31.2,16.3,257.7,26.3,9.2
9-Jan-00,0:00,28.8,24.2,262.1,17.2,9.2
9-Jan-00,1:00,27,32.9,249,18.5,9.2
9-Jan-00,2:00,25.2,40.2,247.3,19.1,9.2
9-Jan-00,3:00,22.4,44.5,237.5,25.7,9.2
9-Jan-00,4:00,18.4,48.4,245.7,21.5,9.2
9-Jan-00,5:00,16,48.7,248.9,20.6,9.2
9-Jan-00,6:00,14.4,51,246.5,21.1,9.2
9-Jan-00,7:00,14.3,55,240,27.7,9.2
9-Jan-00,8:00,15.8,52,220,24.1,9.2
9-Jan-00,9:00,17.7,42,230,22.3,9.2
